Question,Your Answer,Notes
"Q1: What is the conventional wisdom? (Be specific with numbers)","","List historical precedents, industry standards, expert opinions"
"Q1: What analogies do people use?","","e.g., 'We do it like Company X does'"
"Q1: What timeframes are involved?","","Specify exact costs, durations, quantities"
"Q2: What are the material constituents?","","For physical products, list raw materials"
"Q2: What do those materials cost?","","Check commodity market prices"
"Q2: What are the fundamental physical/math requirements?","","Strip away conventions to reach physics/logic"
"Q2: What's truly irreducible?","","Keep asking 'why' until you hit bedrock"
"Q3: What new solution can be built from fundamentals?","","Reason upward without conventional constraints"
"Q3: What could go wrong (the catch)?","","List potential overlooked constraints"
"Q3: How will you validate with experts?","","Plan for testing and feedback"
